IA_Name,Common_Name,CAS,CSID,Compound_Class,Log_P,Vapor_Pressure,Vapor_Pressure_At,FooDB_Odors,FooDB_Odor_Family
"2H-1-Benzopyran, 3,5,6,8a-tetrahydro-2,5,5,8a-tetramethyl-, cis-",NA,41678-30-2,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geranial,Citral,141-27-5,553578,NA,3.17,0.1,25°C,NA,NA
Nonanoic acid,NA,112-05-0,NA,Medium-chain fatty acids,NA,NA,NA,"green, fat, waxy, dirty, cheese, cultured dairy","green, fatty"
59,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geranyl formate,"3,7-Dimethyl-2,6-octadien-1-yl formate",105-86-2,7491,NA,3.7,0.0,25°C,"fresh, rose, neroli, tea, green, bitter","floral, green"
Tridecane,Tridecane,629-50-5,11882,NA,7.66,0.1,25°C,alkane,NA
1-Methylnaphthalene,1-Methylnaphthalene,90-12-0,6736,Naphthalenes,3.91,0.1,25°C,"naphthyl, chemical, medicinal, camphor",medicinal
"Phenol, p-tert-butyl-",4-tert-Butylphenol,98-54-4,13846663,Phenylpropanes,3.17,0.0,25°C,"oakmoss, leather",NA
"Phenol, m-tert-butyl-",3-(t-Butyl)phenol,585-34-2,10966,NA,3.17,0.0,25°C,NA,NA
"2H-1-Benzopyran, 3,4,4a,5,6,8a-hexahydro-2,5,5,8a-tetramethyl-(2?,4a?,8a?)-",NA,63335-66-0,NA,NA,NA,NA,NA,NA,NA
Indole,Indole,120-72-9,776,Indoles,2.14,0.0,25°C,"mothball, burnt, jasmine, honey, fishy, animal, floral, moth ball, fecal, naphthelene","floral, balsamic, fishy, animal"
"Cyclohexanemethanol, 4-hydroxy-alpha,alpha,4-trimethyl-",Terpin,80-53-5,6399,NA,1.07,0.0,25°C,NA,NA
125,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2H-1-Benzopyran, 3,5,6,8a-tetrahydro-2,5,5,8a-tetramethyl-, trans-",NA,41678-29-9,NA,NA,NA,NA,NA,NA,NA
"2,6,10,10-Tetramethyl-1-oxa-spiro[4.5]dec-6-ene",NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geranic acid,Geranic acid,459-80-3,9595,NA,3.46,0.0,25°C,NA,NA
"Naphthalene, 1,2-dihydro-1,1,6-trimethyl-","1,1,6-Trimethyl-1,2-dihydronaphthalene",30364-38-6,108567,NA,4.92,0.1,25°C,licorice,NA
"Naphthalene, 1,2,3,4-tetrahydro-1,1,6-trimethyl-",ionene,475-03-6,61372,NA,5.4,0.1,25°C,NA,NA
Nonalactone<gamma->,Apricolin,104-61-0,7424,NA,1.85,0.0,25°C,"coconut, peach, creamy, waxy, sweet, buttery, oily","fruity, fatty, balsamic"
Decanoic acid,Decanoic acid,334-48-5,2863,Medium-chain fatty acids,3.96,0.0,25°C,"rancid, fat, unpleasant, sour, fatty, citrus","fatty, citrus"
88,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bourbonene<beta->,"(1S,3aS,3bR,6aS,6bR)-1-Isopropyl-3a-methyl-6-methylenedecahydrocyclopenta[3,4]cyclobuta[1,2]cyclopentene",5208-59-3,56330,NA,6.17,0.0,25°C,"herb, herbal, woody",woody
Hexenyl hexenoate<3Z->,(3Z)-3-Hexen-1-yl hexanoate,31501-11-8,4509415,Fatty acid esters,4.54,0.0,25°C,"fruit, prune, fruity, green, waxy, pear, winey, tropical, grassy, pineapple","fruity, green"
Damascenone<(E)-beta->,b-Damascenone,23726-93-4,4517997,NA,4.04,0.0,25°C,"rose, honey, apple, smoky, tobacco, sweet","floral, balsamic, fruity, smoky, tobacco"
"Naphthalene, 2,6-dimethyl-","2,6-DIMETHYLNAPHTHALENE",581-42-0,10909,NA,4.37,0.0,25°C,grass,NA
Tetradecane (C14),Tetradecane,629-59-4,11883,NA,8.19,0.0,25°C,"alkane, mild, waxy",NA
