Family,Compound,unspray1,unspray2,unspray3,control2,control3,control4,control5,meja1,meja2,meja3,meja4,geom1,geom3,geom5
N_S_Containing,Benzothiazole,23108.7,16972.2,23001.2,37097.3,41584.6,45257.4,40940.7,24801.1,23668.9,26555,25649.5,18637.8,18682.9,25347.2
N_S_Containing,Methenamine,56766,411518.8,216807.6,286459,74625.9,171312.3,56718.4,126542.3,216298.9,70760.4,229984.2,224967.2,348608.6,116701.2
N_S_Containing,Quinoline,299431.9,215884.1,218831.6,570968,319293.9,392563.5,299395.5,300735.7,319768,279532.4,341979.4,330184.7,328802.5,267103.8
N_S_Containing,Isoquinoline,116090.4,90747.4,87813.1,228053.4,137518.1,141591.8,97696.9,126368.4,150203.3,1109866.1,136606.6,170632.9,148109.7,100777.7
N_S_Containing,Indole,6994.1,5625.7,8415.7,73041.2,235009.8,617883.7,248084.5,219654.7,70412.7,98540.4,107585.5,2846.7,64323.2,38032.5
N_S_Containing,"Isoquinoline, 1-methyl-",63313.5,44991.6,42651.1,103675.9,63201,66714,45421.4,8193.9,8031,8414.9,7425.6,70144.2,72787.2,50324.1
N_S_Containing,"Quinoline, 5-methyl-",27235.1,19248.9,18988.5,59980.9,25384,31576,22318,27590.3,33693.1,25805.1,33800.8,39453.9,35531.9,21347
Oxygenated_Heterocycles,"1,3-Dioxolane, 2-methyl",91058.4,105003.1,92316.3,61534.1,57893.4,58437.2,55162.9,90503.9,92894.7,86705.5,83023.1,124239.6,105964.5,72075.6
Oxygenated_Heterocycles,3-Furaldehyde,7187.9,5826.6,6069.2,14273.3,10897.3,9914.2,9896.3,7555.3,7692,7337.4,7640.7,,8558.7,13810.9
Oxygenated_Heterocycles,Furfural,47153.8,43115.4,37117.9,114159.9,102827.6,127296.5,75810.6,69478,64413.9,48480.2,82000.1,5135,84763.5,169151.6
Oxygenated_Heterocycles,2-Furanmethanol,10592.2,8600.6,9166.7,30668.9,20779.9,26553,23000.8,15419.3,12374.9,10722.4,13849.3,,4912.7,32906.5
Oxygenated_Heterocycles,Acetylfuran<2->,2587.7,2698.8,3300.7,6449.3,4402,5619.1,5345.6,3574.6,3791.3,2938.5,4520.5,,,5551.8
Oxygenated_Heterocycles,Hydroxybutanoic acid lactone<4->,,,,7690.9,6632.4,6553.1,7801,4035.2,3576.8,3630.1,3905.9,,7644.7,8262.7
Oxygenated_Heterocycles,2(5H)-Furanone,28015.3,21518.3,20311.9,48938,43415.9,42246.7,39507.7,28018.7,27906,23316.2,31986.6,8173,43430.2,55273.6
Oxygenated_Heterocycles,Benzaldehyde,52391,46800,50865.3,93607.8,89201.8,90802.6,102189.8,78067.3,61735.1,56419.3,68934.4,4660.3,61402.6,71209.5
Oxygenated_Heterocycles,Furfural<5-methyl->,4591.2,4266.1,3595.3,5347.1,4977.3,7413.5,5661.3,5032.3,4293.3,5056.4,6771.7,,1821.5,5453
Oxygenated_Heterocycles,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",,,,,,,,4167.5,3626.7,,,,3696.6,3918.9
Oxygenated_Heterocycles,Phenol,299969.4,244881.6,452135.8,22012.6,18685.1,30660.4,10710.4,313452.9,381501.5,257174.4,399714.3,516234.7,641203.1,275131.7
Oxygenated_Heterocycles,Benzyl alcohol,6232.3,7352.8,8994,7451.2,14021.1,11849.9,9372.1,5516.3,5224.5,5441.6,6841.6,3008.3,7751.9,8080.5
Oxygenated_Heterocycles,Lavender Lactone,2267.7,1612.3,7415.7,3252.3,3555.2,4955.6,7840.6,2233.9,1959.8,3346.8,3081.8,,1857.1,3526.3
Oxygenated_Heterocycles,Benzene acetaldehyde,2228,2459.6,5328.8,10821.8,9867,9771.8,13446.2,3551.3,2846.8,3861.3,4365.8,,2989.9,5058.8
Oxygenated_Heterocycles,"2H-Pyran-2-one, tetrahydro-",10014.9,10705.2,10489.4,19383.3,16531.4,20755.5,20934.6,11907.3,13572,12870.5,11503,10078.5,14253,15426.7
Oxygenated_Heterocycles,Acetophenone,455698.5,361494.6,388175,602667.4,380792.4,399635.5,335936.4,390297.9,389736.7,578368.7,399364.6,44490.1,465384.7,392530.7
Oxygenated_Heterocycles,Hexalactone<gamma->,16809.8,18593.7,7820,10007.9,,,,20594.5,20918.7,13218.9,11845.9,4760.2,9712.3,18293.1
Oxygenated_Heterocycles,Cresol<meta->,4420.7,6712.9,7441.3,9282.2,9293.9,11103.9,8596.1,3407.9,5171.5,5741.5,4321.9,6465.3,11975.1,4637.2
Oxygenated_Heterocycles,"Benzenemethanol, alpha,alpha-dimethyl-",17630.1,15983.3,10921.5,29732.4,18342.1,13409.1,23031.3,8800.5,14743.9,13458.2,20017.2,4673,70299.5,26472.1
Oxygenated_Heterocycles,Phenyl ethyl alcohol,,,6921.5,,,,6460.4,3213.1,3966.4,3800.4,3207.1,,2117.3,3059.7
Oxygenated_Heterocycles,Methyl salicylate,10773.4,4261.4,185321.4,1601.2,9789.9,12200,53459.6,6300.2,6307.3,7941.9,18886.4,3244.7,4027.9,2706.6
Oxygenated_Heterocycles,"Benzofuran, 2,3-dihydro-",,,,,13064.9,4680.3,4393.1,,1242.2,,,,4810.1,5176.4
Oxygenated_Heterocycles,"Benzaldehyde, 2,4-dichloro",92062.7,96785.6,94460.6,212656.7,203801,221397.5,166676,118587,134491.9,111009.2,139356.9,95329.4,145895.2,133318.6
Oxygenated_Heterocycles,"2,6-Dichloroacetophenone",20597.1,16028.8,17953.8,36389.2,35706.4,39799.6,28469.3,16576.6,14567.2,18258.2,17688.5,10960.2,14053.7,13864.3
Oxygenated_Heterocycles,1(3H)-Isobenzofuranone,43553.8,39572.6,47909.6,78924.3,88539.8,94528.2,71627.1,42105.7,67387.9,54562,47825.2,46110.4,37274.4,63223.5
Oxygenated_Heterocycles,Nonalactone<gamma->,,,,,,,,,,,,18373.3,,
Oxygenated_Heterocycles,Coumarin,50638.3,72409,80082,23881.5,106357.6,91461.2,67182.6,44027.1,43823.3,59936.8,80092.1,31998.4,49210.6,92371
Oxygenated_Heterocycles,Decalactone<gamma->,,,,,,,,,,,,11331.9,10737.4,
Oxygenated_Heterocycles,Dibenzofuran,62830.4,58239,62770.2,98197.8,107944.4,117714.8,120878.9,62805.4,67092.2,70587.2,69928.4,30746.5,57645.4,75745.9
Oxygenated_Heterocycles,"Phenol, 2,5-bis(1,1-dimethylethyl)-",15100.3,12802.4,11721.1,,,,,18129.8,16370.8,14921.6,13792.4,,,
Oxygenated_Monoterpene,Linalool oxide<dehydroxy-trans->,8981.3,12255.5,7639.5,5578.3,4867.8,4585.4,6837.9,9689.8,9326.3,13278.1,6386,3088.9,15960,5506.7
Oxygenated_Monoterpene,Linalool oxide<dehydroxy-cis->,2571.7,2680.7,4765,3590.8,3194,3705.7,5759.4,1954.7,3026.1,2906.3,3412.9,,3020.5,4050.1
Oxygenated_Monoterpene,Menthol,7555.5,4555.5,5808.5,9077.8,11442.5,11281.6,16183.8,4998.1,5565.6,7130.6,6226.8,,6750.2,6775.4
Oxygenated_Monoterpene,Terpineol<alpha->,4888.2,4553.7,4484.6,2507.7,9420.5,3188.5,4874.4,4634.3,7163,6732.3,8047.6,,14528.5,14372.2
Oxygenated_Monoterpene,Carvone,3223.4,2888.7,2648.4,5681.7,5677.2,6964.4,7544.3,2417,4141.5,4113.2,2466.5,,4371,6462.9
Oxygenated_Monoterpene,Jasmone<Z->,3404.8,2620.1,6863.4,3160.3,5440.1,3963.8,5685,5813.5,5563.8,5256,5229.2,2465.9,3984.2,4839.4
Oxygenated_Monoterpene,Geranyl acetone,14839.8,13887.8,20538.3,20865.7,23080.2,18774.3,50054.4,16138.4,14893.8,16532.3,18037.6,3905.3,15089,2474.8
Oxygenated_Monoterpene,Dihydroactiniolide,22769.3,14193.1,18972.5,23215,25156.4,18634.5,23944.9,15983.6,19920.8,16527.7,19445.2,8162.9,12454,19239.8
Oxygenated_Sesquiterpene,Cedrol,180057.7,152127.3,168168.1,144586,147956.2,157510.7,173552.6,117149.3,134605.1,172058.2,170432.8,104714.5,144081.6,137765.4
Oxygenated_Sesquiterpene,Cadinol<epi-alpha-> (=tau-cadinol),,,,,,,,,,,,2520.9,3741.6,4704.5
Oxygenated_Sesquiterpene,Cadinol<alpha->,28690.5,47038.9,24915,31118.3,16825.5,25153.4,33481.9,17735.2,28895.9,32864,29588.9,9188.4,36068,26898.9
Sesquiterpene_Hyrdocarbon,Bournonene<beta->,8542.5,4842.3,11120.2,7884.7,8807.3,11917,7987.8,,,,,,5386.3,6169.4
Sesquiterpene_Hyrdocarbon,Caryophyllene<Z->,12786,12904.9,18597.5,22862.5,25137.4,24503.2,26460.1,12463.8,12133.9,15029.3,15371,,13261.8,14386.2
Sesquiterpene_Hyrdocarbon,Amorphene<alpha->,,,,5489.3,6335.9,6875.7,11908.8,5349.2,4418,5830.2,5388.2,2108.7,5283,4730.2
Sesquiterpene_Hyrdocarbon,Muurolene<alpha->,7319.6,6018.3,8561.8,7291.1,9689.1,7623.1,11216.2,6326.5,6458.1,8028.9,10968.3,1993.3,5340.8,8169.6
Sesquiterpene_Hyrdocarbon,"(E,E)-alpha-Farnesene",13713.1,5907,538874,8577.8,6535.9,16508.7,305145.2,4544.6,6517,11041.5,10770.9,4576.2,4052.2,4454.1
Sesquiterpene_Hyrdocarbon,Cadinene<gamma->,4874.4,3690.9,,5193,4936.3,5161.3,5569.5,5150.5,5563,7442.8,6031.1,,3189.3,4755.9
Sesquiterpene_Hyrdocarbon,Calamenene<cis->,19384.1,15868.3,22048.9,26762,31063.1,35571.4,29570.6,20279.9,16663.1,19612.3,34954.8,8666.8,20990.7,20759
Sesquiterpene_Hyrdocarbon,Cadinene<delta->,4668.3,4022.5,7064.5,5014.2,5562.6,4573.5,6595.6,4036.6,3946.3,4566,6319.5,,4694.1,4679.4
Sesquiterpene_Hyrdocarbon,Calacorene<alpha->,3337.6,2931.2,3827.6,6474.5,6269.4,6471.7,5288.2,3445.5,4305,5186.4,8881.2,2686.8,3791.8,4290.7
Sesquiterpene_Hyrdocarbon,Cadalene,2814.4,3839.8,,5597.5,,5970.8,5117.5,3994,6025.1,4039.5,7688.9,6179.3,4041.4,8369.5
